family	has_parent	total_paralogs	paralogs_detected	supported	robust expression	parent correlated	low expression	unsupported	parent_mean_TPM	mean_paralog_TPM	paralog_parent_TPM_ratio	paralogs_parent correlated	parent_n_tissues
Aadac	True	3	3	1	0	1	1	0	222.4387	38.1875	0.5150	1	6
Aadacl4	True	3	3	1	0	0	2	0	1.9051	8.2065	12.9230	2	4
Aasdhppt	True	1	1	0	0	1	0	0	112.5341	275.8859	2.4516	1	6
Abca3	True	1	1	1	0	0	0	0	135.5875	6.8411	0.0505	0	6
Abcb1	True	1	1	1	0	0	0	0	14.0414	13.3971	0.9541	0	6
Abcg2	True	2	2	2	0	0	0	0	22.6614	23.1031	2.0390	0	6
Abraxas2	True	1	1	1	0	0	0	0	22.7096	72.0812	3.1740	0	6
Acad9	True	1	1	1	0	0	0	0	77.7630	132.5121	1.7041	0	6
Acbd5	True	1	1	0	0	1	0	0	55.8447	240.3438	4.3038	1	6
Accsl	True	2	2	0	0	0	2	0	0.0548	0.1322	4.8206	0	2
Aco1	True	1	1	0	0	1	0	0	155.8644	1550.1553	9.9455	1	6
Acot13	True	3	3	0	0	3	0	0	226.6910	409.4083	5.4181	3	6
Acot2	True	1	1	1	0	0	0	0	253.7222	364.8440	1.4380	0	6
Acp1	True	1	1	1	0	0	0	0	119.2434	10.0057	0.0839	0	6
Acsbg2	True	1	1	1	0	0	0	0	1.1656	2.2546	1.9344	0	6
Actb	True	2	2	0	0	1	1	0	13085.2469	947.4162	0.1448	1	6
Adam1a	True	1	1	1	0	0	0	0	16.5032	3.5015	0.2122	0	6
Adam20	True	3	3	0	0	0	3	0	0.4822	0.8469	5.2695	0	2
Adh5	True	1	1	0	0	1	0	0	197.1578	3481.0433	17.6561	1	6
Adh7	True	1	1	0	0	0	1	0	12.0802	0.4232	0.0350	0	6
Adrm1	True	1	1	1	0	0	0	0	126.0797	652.8214	5.1778	0	6
Aff1	True	1	1	0	0	1	0	0	129.0167	1.2500	0.0097	1	6
Ahsa1	True	1	1	0	0	1	0	0	241.4937	260.1682	1.0773	1	6
Aif1l	True	1	1	1	0	0	0	0	40.4243	1172.1908	28.9972	0	6
Ak6	True	1	1	1	0	0	0	0	24.7770	183.6926	7.4138	0	6
Akirin1	True	1	1	0	0	1	0	0	96.4878	18.1970	0.1886	1	6
Akr1a1	True	1	1	0	0	1	0	0	108.3441	3515.5140	32.4477	1	6
Akr1b1	True	3	3	0	0	3	0	0	18.0991	126.7662	21.0120	3	6
Akr1b8	True	4	4	1	0	3	0	0	11.4273	32.3615	11.3278	3	6
Aldh1a1	True	1	1	0	0	1	0	0	273.9424	194.9611	0.7117	1	6
Alox12e	True	1	1	0	0	0	1	0	3.5291	0.6301	0.1785	0	4
Alpi	True	1	1	1	0	0	0	0	0.3546	14.6303	41.2574	0	6
Alyref	True	2	2	1	0	1	0	0	47.9893	141.8718	5.9126	1	6
Amd1	True	4	3	0	0	1	2	1	118.0468	19.1765	0.6498	1	6
Amy1	True	1	1	0	0	1	0	0	12.3526	243.8646	19.7420	1	6
Anapc10	True	1	1	1	0	0	0	0	8.4404	150.1340	17.7876	0	6
Anapc16	True	1	1	1	0	0	0	0	67.6796	17.3365	0.2562	0	6
Angpt4	True	2	2	1	0	0	1	0	1.6404	1.1739	1.4312	0	6
Anp32b	True	1	1	1	0	0	0	0	46.2498	373.9378	8.0852	0	6
Antxrl	True	1	1	0	0	0	1	0	0.0820	0.2567	3.1300	0	5
Anxa1	True	1	1	0	0	1	0	0	647.5556	379.5439	0.5861	1	6
Ap1ar	True	1	1	0	0	1	0	0	40.1441	38.8173	0.9669	1	6
Ap2b1	True	1	1	0	0	1	0	0	20.5158	225.0586	10.9700	1	6
Ap3s1	True	2	2	1	0	1	0	0	17.4379	37.3270	4.2811	1	6
Apol3	True	6	6	4	0	0	2	0	0.6361	26.9692	254.3845	1	6
Apol6	True	1	1	1	0	0	0	0	0.5702	124.7413	218.7740	0	6
Apool	True	1	1	1	0	0	0	0	9.9341	2.3006	0.2316	0	6
Arf4	True	1	1	0	0	1	0	0	70.6960	91.7292	1.2975	1	6
Arhgdia	True	1	1	0	0	1	0	0	741.1526	720.4260	0.9720	1	6
Arl1	True	1	1	0	0	1	0	0	248.5736	294.9547	1.1866	1	6
Arl2	True	1	1	0	0	1	0	0	219.0790	82.4833	0.3765	1	6
Arl2bp	True	1	1	0	0	1	0	0	215.8920	280.1027	1.2974	1	6
Armc3	True	1	1	0	0	1	0	0	2.6739	8.6876	3.2490	1	6
Arpc1a	True	2	2	0	0	2	0	0	56.5098	419.3232	14.8407	2	6
Arpc1b	True	1	1	1	0	0	0	0	320.8794	3.7706	0.0118	0	6
Arpc3	True	1	1	0	0	1	0	0	74.6911	5682.2021	76.0760	1	6
Arpc5	True	5	4	0	0	2	2	1	241.7003	156.3779	3.2350	2	6
Arpp19	True	1	1	0	0	1	0	0	106.3238	196.1356	1.8447	1	6
Asns	True	1	1	1	0	0	0	0	101.6262	218.8622	2.1536	0	6
Asrgl1	True	1	1	1	0	0	0	0	432.4348	69.3392	0.1603	0	6
Ass1	True	3	3	0	0	3	0	0	29.3037	1278.5127	130.8894	3	6
Atf1	True	1	1	1	0	0	0	0	23.5432	142.1779	6.0390	0	6
Atg12	True	2	2	1	0	1	0	0	56.4599	101.7543	3.6045	1	6
Atg4d	True	1	1	1	0	0	0	0	103.5854	212.0702	2.0473	0	6
Atp1b3	True	1	1	0	0	1	0	0	69.2344	639.5011	9.2367	1	6
Atp5f1b	True	2	2	0	0	2	0	0	1113.4859	3008.8569	5.4044	2	6
Atp5f1c	True	1	1	1	0	0	0	0	81.1447	19.5221	0.2406	0	6
Atp5f1e	True	1	1	0	0	1	0	0	16667.7858	463.1000	0.0278	1	6
Atp5mc3	True	1	1	0	0	1	0	0	3526.7738	1903.4660	0.5397	1	6
Atp5me	True	2	2	1	0	1	0	0	363.8168	753.3070	4.1411	1	6
Atp5mf	True	4	3	2	0	0	1	1	132.8268	477.2592	14.3724	0	6
Atp5mk	True	4	4	0	0	4	0	0	4249.6315	1594.0722	1.5004	4	6
Atp5mpl	True	2	2	0	0	2	0	0	801.7077	163.3693	0.4076	2	6
Atp6v0d1	True	1	1	1	0	0	0	0	26.6744	1701.2851	63.7797	0	6
Atp6v1b2	True	1	1	0	0	1	0	0	158.3085	808.8768	5.1095	1	6
Atp6v1c1	True	1	1	0	0	1	0	0	149.9321	658.3113	4.3907	1	6
Atp6v1g1	True	2	2	0	2	0	0	0	0.0000	603.7584	inf	0	0
Atrn	True	1	1	1	0	0	0	0	32.3962	3.8235	0.1180	0	6
Atxn7l3b	True	2	2	0	2	0	0	0	0.0000	513.8117	inf	0	0
Auts2	True	1	1	0	0	1	0	0	11.2052	17.0134	1.5183	1	6
Bccip	True	1	1	0	0	1	0	0	174.0410	86.8024	0.4987	1	6
Bcorl1	True	1	1	1	0	0	0	0	9.6657	12.7234	1.3163	0	6
Bdp1	True	1	1	0	0	1	0	0	23.8868	21.3134	0.8923	1	6
Birc5	True	1	1	0	0	1	0	0	71.6981	3.7419	0.0522	1	6
Bloc1s1	True	2	2	0	0	1	1	0	301.9232	6.1600	0.0408	1	6
Bloc1s2	True	1	1	0	0	0	1	0	139.9688	0.0181	0.0001	0	6
Bloc1s5	True	1	1	1	0	0	0	0	32.0906	45.9469	1.4318	0	6
Bloc1s6	True	2	2	1	0	1	0	0	64.4914	24.1516	0.7490	1	6
Bmp8b	True	1	1	1	0	0	0	0	6.0795	2.6068	0.4288	0	6
